filename,label_vowel,label_gender,speaker_id
s001_M_a_0000.wav,a,M,s001
s001_M_e_0001.wav,e,M,s001
s001_M_a_0002.wav,a,M,s001
s001_M_i_0003.wav,i,M,s001
s001_M_e_0004.wav,e,M,s001
s001_M_e_0005.wav,e,M,s001
s001_M_a_0006.wav,a,M,s001
s001_M_e_0007.wav,e,M,s001
s001_M_e_0008.wav,e,M,s001
s001_M_o_0009.wav,o,M,s001
s001_M_i_0010.wav,i,M,s001
s001_M_e_0011.wav,e,M,s001
s001_M_o_0012.wav,o,M,s001
s001_M_a_0000.wav,a,M,s001
s001_M_a_0001.wav,a,M,s001
s001_M_e_0002.wav,e,M,s001
s001_M_o_0003.wav,o,M,s001
s001_M_o_0004.wav,o,M,s001
s001_M_e_0005.wav,e,M,s001
s001_M_e_0006.wav,e,M,s001
s001_M_o_0007.wav,o,M,s001
s001_M_e_0008.wav,e,M,s001
s001_M_a_0009.wav,a,M,s001
s001_M_o_0010.wav,o,M,s001
s001_M_i_0011.wav,i,M,s001
s001_M_o_0012.wav,o,M,s001
s001_M_e_0013.wav,e,M,s001
s001_M_o_0000.wav,o,M,s001
s001_M_o_0001.wav,o,M,s001
s001_M_e_0002.wav,e,M,s001
s001_M_a_0003.wav,a,M,s001
s001_M_e_0004.wav,e,M,s001
s001_M_a_0005.wav,a,M,s001
s001_M_o_0006.wav,o,M,s001
s001_M_e_0007.wav,e,M,s001
s001_M_e_0008.wav,e,M,s001
s001_M_o_0009.wav,o,M,s001
s001_M_i_0010.wav,i,M,s001
s001_M_o_0011.wav,o,M,s001
s001_M_e_0000.wav,e,M,s001
s001_M_i_0001.wav,i,M,s001
s001_M_a_0002.wav,a,M,s001
s001_M_i_0003.wav,i,M,s001
s001_M_o_0004.wav,o,M,s001
s001_M_e_0005.wav,e,M,s001
s001_M_o_0006.wav,o,M,s001
s001_M_a_0007.wav,a,M,s001
s001_M_a_0008.wav,a,M,s001
s001_M_e_0009.wav,e,M,s001
s001_M_a_0010.wav,a,M,s001
s001_M_i_0011.wav,i,M,s001
s001_M_e_0012.wav,e,M,s001
s001_M_e_0013.wav,e,M,s001
s001_M_i_0014.wav,i,M,s001
s001_M_i_0015.wav,i,M,s001
s001_M_o_0016.wav,o,M,s001
s001_M_o_0000.wav,o,M,s001
s001_M_i_0001.wav,i,M,s001
s001_M_i_0002.wav,i,M,s001
s001_M_a_0003.wav,a,M,s001
s001_M_e_0004.wav,e,M,s001
s001_M_e_0005.wav,e,M,s001
s001_M_i_0006.wav,i,M,s001
s001_M_a_0007.wav,a,M,s001
s001_M_o_0008.wav,o,M,s001
s001_M_o_0009.wav,o,M,s001
s001_M_i_0010.wav,i,M,s001
s001_M_o_0011.wav,o,M,s001
s001_M_o_0012.wav,o,M,s001
s001_M_a_0013.wav,a,M,s001
s001_M_i_0014.wav,i,M,s001
s001_M_a_0015.wav,a,M,s001
s001_M_a_0016.wav,a,M,s001
s001_M_o_0017.wav,o,M,s001
s001_M_e_0018.wav,e,M,s001
s001_M_a_0019.wav,a,M,s001
s001_M_e_0020.wav,e,M,s001
s001_M_e_0021.wav,e,M,s001
s001_M_o_0022.wav,o,M,s001
s001_M_a_0000.wav,a,M,s001
s001_M_a_0001.wav,a,M,s001
s001_M_o_0002.wav,o,M,s001
s001_M_a_0003.wav,a,M,s001
s001_M_o_0004.wav,o,M,s001
s001_M_a_0005.wav,a,M,s001
s001_M_a_0006.wav,a,M,s001
s001_M_i_0007.wav,i,M,s001
s001_M_e_0008.wav,e,M,s001
s001_M_a_0009.wav,a,M,s001
s001_M_o_0010.wav,o,M,s001
s001_M_i_0011.wav,i,M,s001
s001_M_e_0012.wav,e,M,s001
s001_M_o_0013.wav,o,M,s001
s001_M_o_0000.wav,o,M,s001
s001_M_a_0001.wav,a,M,s001
s001_M_u_0002.wav,u,M,s001
s001_M_e_0003.wav,e,M,s001
s001_M_o_0004.wav,o,M,s001
s001_M_e_0005.wav,e,M,s001
s001_M_o_0006.wav,o,M,s001
s001_M_o_0007.wav,o,M,s001
